           1    -8.25522    -8.25522           0
           2    -8.25441    -8.25482  0.00028346
           3    -8.25432    -8.25465  0.00023181
           4     -8.2537    -8.25441 0.000269223
           5    -8.25284     -8.2541 0.000354198
           6    -8.25441    -8.25415  0.00029883
           7    -8.25446     -8.2542 0.000259487
           8    -8.25342     -8.2541 0.000244477
           9    -8.25446    -8.25414 0.000220667
          10     -8.2543    -8.25415 0.000199155
          11    -8.25393    -8.25413 0.000182137
          12    -8.25285    -8.25403 0.000195802
          13    -8.25347    -8.25398 0.000185409
          14    -8.25423      -8.254 0.000172986
          15    -8.25405      -8.254 0.000161484
          16    -8.25349    -8.25397 0.000154514
          17    -8.25433    -8.25399 0.000146812
          18    -8.25432    -8.25401 0.000139745
          19    -8.25491    -8.25406 0.000140148
          20    -8.25491     -8.2541 0.000139452
