           1    0.456793    0.456793           0
           2     0.43574    0.446266  0.00744356
           3    0.440099     0.44421  0.00523859
           4    0.436206    0.442209  0.00429415
           5    0.435818    0.440931   0.0036206
           6    0.436355    0.440168  0.00309646
           7    0.430934    0.438849  0.00292163
           8    0.436051    0.438499  0.00257728
           9    0.435384    0.438153  0.00231405
          10     0.43614    0.437952  0.00209138
          11    0.444521    0.438549  0.00198469
          12    0.437664    0.438475  0.00182067
          13    0.437431    0.438395  0.00168239
          14    0.436706    0.438274  0.00156654
          15    0.433025    0.437924  0.00150068
          16    0.440419     0.43808  0.00141497
          17    0.444558    0.438461  0.00138209
          18    0.431026    0.438048  0.00136565
          19    0.436174     0.43795  0.00129733
          20    0.439685    0.438036  0.00123536
          21    0.443313    0.438288  0.00120181
          22    0.428318    0.437834  0.00122965
          23    0.431415    0.437555  0.00120744
          24    0.445198    0.437874  0.00119839
          25    0.440285     0.43797  0.00115433
          26    0.441401    0.438102  0.00111745
          27    0.446108    0.438399  0.00111471
          28    0.434108    0.438246  0.00108538
          29    0.441404    0.438354  0.00105341
          30     0.43454    0.438227  0.00102594
